amfi_code,cagr_pct,scheme_name_x,cagr_rank,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score,scheme_name_y
119094,28.192608222062464,Axis Midcap Fund - Regular - Growth,9.0,0.9982309868636413,0.2607666908004223,-0.20960883862039192,1.38,11.0,9.0,17.0,28.0,12.6,Axis Midcap Fund - Regular - Growth
149323,29.558105232568344,DSP Midcap Fund - Regular - Growth,8.0,1.1321218524747243,0.26598577542043045,-0.17248105753451382,1.61,6.0,8.0,38.0,22.0,13.399999999999999,DSP Midcap Fund - Regular - Growth
118632,24.03119561352478,Nippon India Large Cap Fund - Regular - Growth,11.0,1.0816591793457042,0.21829397904608644,-0.17414075086657232,1.51,8.0,11.0,24.5,23.0,13.475000000000001,Nippon India Large Cap Fund - Regular - Growth
101206,23.520488754230385,ABSL Frontline Equity Fund - Regular - Growth,12.0,1.0272133278753695,0.21399784776051212,-0.11291596329323073,1.6,9.0,12.0,36.5,9.0,14.625,ABSL Frontline Equity Fund - Regular - Growth
125497,19.003613208378557,HDFC Top 100 Fund - Direct Plan - Growth,16.0,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.92,18.0,16.0,14.0,18.0,16.4,HDFC Top 100 Fund - Direct Plan - Growth
148568,22.499840384352243,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.0,0.9262873467360144,0.20873010086942337,-0.1527259422823477,1.52,15.0,14.0,26.5,19.0,16.625,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120503,18.771330105513616,ICICI Pru Bluechip Fund - Regular - Growth,17.0,0.7979728586052847,0.17703302365844073,-0.13897862823061635,1.42,17.0,17.0,20.0,14.0,17.15,ICICI Pru Bluechip Fund - Regular - Growth
102885,18.218826089343754,UTI Nifty 50 Index Fund - Regular - Growth,18.0,0.8170993373494367,0.17048756803412696,-0.1085986215250232,1.57,16.0,19.0,34.0,7.0,18.999999999999996,UTI Nifty 50 Index Fund - Regular - Growth
118635,15.94548118508252,Nippon India ETF Nifty 50 BeES,23.0,0.664856998549062,0.1513635464823924,-0.1165062450540909,0.89,19.0,23.0,13.0,10.0,19.2,Nippon India ETF Nifty 50 BeES
118633,16.262218000296524,Nippon India Large Cap Fund - Direct - Growth,22.0,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.72,21.0,22.0,5.5,26.0,19.675,Nippon India Large Cap Fund - Direct - Growth
120506,17.072227512921923,ICICI Pru Value Discovery Fund - Regular - Growth,19.0,0.6488787755249532,0.1625385327998104,-0.1982565826298267,1.41,20.0,20.0,19.0,27.0,20.25,ICICI Pru Value Discovery Fund - Regular - Growth
120507,7.232410932344591,ICICI Pru Liquid Fund - Regular - Growth,29.0,0.4957233929533123,0.06746210411099539,-0.0009773140045925555,0.74,23.0,31.0,7.0,1.0,21.8,ICICI Pru Liquid Fund - Regular - Growth
118634,16.36139647659338,Nippon India Small Cap Fund - Regular - Growth,21.0,0.44843400890899127,0.1750072167561127,-0.2334488614483311,1.53,26.0,18.0,28.5,32.0,23.875,Nippon India Small Cap Fund - Regular - Growth
125498,11.293660210400969,HDFC Mid-Cap Opportunities Fund - Direct - Growth,26.0,0.30061192104254786,0.11989100971217971,-0.21117279560132118,0.78,27.0,26.0,10.0,29.0,24.15,HDFC Mid-Cap Opportunities Fund - Direct - Growth
120844,6.91037983940288,Kotak Liquid Fund - Regular - Growth,30.0,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.6,34.0,32.0,3.0,2.0,24.549999999999997,Kotak Liquid Fund - Regular - Growth
102887,16.828673461948984,UTI Flexi Cap Fund - Regular - Growth,20.0,0.6195175900829828,0.16211256794033255,-0.21539827112383225,1.64,22.0,21.0,39.5,30.0,24.625,UTI Flexi Cap Fund - Regular - Growth
149322,13.383520958789363,DSP Top 100 Equity Fund - Regular - Growth,25.0,0.46403744922047774,0.13173190226099432,-0.14844576917771746,1.54,25.0,24.0,30.5,16.0,24.725,DSP Top 100 Equity Fund - Regular - Growth
119093,7.891944369437343,Axis Bluechip Fund - Direct - Growth,28.0,0.12961449795669328,0.08232801295222093,-0.21751396370148224,0.75,29.0,28.0,8.0,31.0,25.55,Axis Bluechip Fund - Direct - Growth
120841,13.522349085511554,Kotak Bluechip Fund - Regular - Growth,24.0,0.4942725378672349,0.13042924450705445,-0.1757361416468729,1.59,24.0,25.0,35.0,24.0,25.85,Kotak Bluechip Fund - Regular - Growth
118636,5.313155402760827,Nippon India Gilt Securities Fund - Regular - Growth,35.0,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.55,38.0,35.0,1.0,6.0,27.75,Nippon India Gilt Securities Fund - Regular - Growth
119120,5.885271270380055,SBI Magnum Gilt Fund - Regular Plan - Growth,34.0,-0.22657538662791576,0.05620895216638369,-0.04328728923970093,0.77,37.0,34.0,9.0,5.0,28.1,SBI Magnum Gilt Fund - Regular Plan - Growth
101208,6.504429821332125,ABSL Liquid Fund - Regular - Growth,32.0,-0.8155673679088263,0.060861457957871144,-0.0016224980244717857,0.79,40.0,33.0,11.0,3.0,28.150000000000002,ABSL Liquid Fund - Regular - Growth
101207,7.933120999915699,ABSL Small Cap Fund - Regular - Growth,27.0,0.16266076928646772,0.10897091901704538,-0.3544691649336603,1.53,28.0,27.0,28.5,38.0,28.575,ABSL Small Cap Fund - Regular - Growth
100025,4.455091155784441,HDFC Short Term Debt Fund - Regular - Growth,36.0,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.56,39.0,38.0,2.0,4.0,28.849999999999998,HDFC Short Term Debt Fund - Regular - Growth
120842,6.696806255006482,Kotak Emerging Equity Fund - Regular - Growth,31.0,0.07599984804658923,0.0780443887615508,-0.24003511326274884,1.56,30.0,29.0,33.0,33.0,30.849999999999998,Kotak Emerging Equity Fund - Regular - Growth
119092,6.363494757718979,Axis Bluechip Fund - Regular - Growth,33.0,0.03078485095458594,0.0689952982167755,-0.1440161790933726,1.64,31.0,30.0,39.5,15.0,31.075,Axis Bluechip Fund - Regular - Growth
119599,2.053064146209893,SBI Small Cap Fund - Direct Plan - Growth,38.0,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.72,32.0,36.0,5.5,40.0,31.424999999999997,SBI Small Cap Fund - Direct Plan - Growth
119095,1.5204552427132478,Axis Small Cap Fund - Regular - Growth,39.0,-0.0759735711747892,0.048015953637759554,-0.5167775370852656,1.38,33.0,37.0,17.0,39.0,33.800000000000004,Axis Small Cap Fund - Regular - Growth
100016,2.6352458116335464,HDFC Top 100 Fund - Regular Plan - Growth,37.0,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,1.55,35.0,39.0,32.0,34.0,35.85,HDFC Top 100 Fund - Regular Plan - Growth
102886,1.17093879842316,UTI Mid Cap Fund - Regular - Growth,40.0,-0.20583160785470309,0.028969397866379445,-0.2800112356639287,1.51,36.0,40.0,24.5,35.0,36.175,UTI Mid Cap Fund - Regular - Growth
