investor_id,sip_count,continuity_status
INV000493,10,Active
INV000494,4,Active
INV000495,5,Active
INV000496,5,Active
INV000497,7,Active
INV000498,1,Inactive
INV000499,7,Active
INV000500,3,Active
INV000501,3,Active
INV000502,1,Inactive
INV000503,1,Inactive
INV000504,1,Inactive
INV000505,4,Active
INV000506,3,Active
INV000507,7,Active
INV000509,3,Active
INV000510,2,Inactive
INV000511,4,Active
INV000512,9,Active
INV000513,2,Inactive
INV000514,4,Active
INV000516,1,Inactive
INV000517,3,Active
INV000518,1,Inactive
INV000519,3,Active
INV000520,3,Active
INV000521,3,Active
INV000522,6,Active
INV000523,5,Active
INV000524,7,Active
INV000525,5,Active
INV000526,3,Active
INV000527,6,Active
INV000528,1,Inactive
INV000529,6,Active
INV000530,3,Active
INV000531,7,Active
INV000532,5,Active
INV000533,4,Active
INV000534,1,Inactive
INV000535,4,Active
INV000536,2,Inactive
INV000537,2,Inactive
INV000538,3,Active
INV000539,7,Active
INV000540,7,Active
INV000541,2,Inactive
INV000542,4,Active
INV000543,7,Active
INV000544,4,Active
INV000545,6,Active
INV000546,9,Active
INV000547,6,Active
INV000548,4,Active
INV000549,6,Active
INV000550,4,Active
INV000551,3,Active
INV000552,5,Active
INV000553,6,Active
INV000554,6,Active
INV000555,2,Inactive
INV000556,8,Active
INV000557,5,Active
INV000558,4,Active
INV000559,3,Active
INV000560,3,Active
INV000561,1,Inactive
INV000562,6,Active
INV000563,7,Active
INV000564,2,Inactive
INV000565,2,Inactive
INV000566,7,Active
INV000567,6,Active
INV000568,6,Active
INV000569,5,Active
INV000570,8,Active
INV000571,1,Inactive
INV000572,3,Active
INV000573,7,Active
INV000574,2,Inactive
INV000575,6,Active
INV000576,5,Active
INV000577,5,Active
INV000578,7,Active
INV000579,1,Inactive
INV000580,5,Active
INV000581,7,Active
INV000583,3,Active
INV000584,5,Active
INV000585,5,Active
INV000586,7,Active
INV000587,5,Active
INV000588,1,Inactive
INV000589,9,Active
INV000590,3,Active
INV000591,7,Active
INV000592,4,Active
INV000593,6,Active
INV000594,1,Inactive
INV000595,5,Active
INV000596,9,Active
INV000597,6,Active
INV000598,4,Active
INV000599,7,Active
INV000600,4,Active
INV000601,5,Active
INV000602,5,Active
INV000603,4,Active
INV000604,4,Active
INV000605,1,Inactive
INV000606,4,Active
INV000607,7,Active
INV000608,6,Active
INV000609,6,Active
INV000611,5,Active
INV000612,11,Active
INV000613,2,Inactive
INV000614,2,Inactive
INV000615,7,Active
INV000616,5,Active
INV000617,1,Inactive
INV000618,2,Inactive
INV000619,5,Active
INV000620,1,Inactive
INV000621,2,Inactive
INV000622,5,Active
INV000623,4,Active
INV000624,7,Active
INV000625,6,Active
INV000626,3,Active
INV000627,1,Inactive
INV000628,2,Inactive
INV000629,4,Active
INV000630,7,Active
INV000631,6,Active
INV000632,1,Inactive
INV000633,5,Active
INV000634,9,Active
INV000635,6,Active
INV000636,3,Active
INV000637,3,Active
INV000638,4,Active
INV000639,3,Active
INV000640,1,Inactive
INV000641,6,Active
INV000642,9,Active
INV000643,4,Active
INV000644,4,Active
INV000645,6,Active
INV000646,7,Active
INV000647,1,Inactive
INV000648,4,Active
INV000649,5,Active
INV000650,3,Active
INV000651,6,Active
INV000652,6,Active
INV000653,2,Inactive
INV000654,1,Inactive
INV000656,3,Active
INV000657,8,Active
INV000658,5,Active
INV000659,4,Active
INV000660,5,Active
INV000661,5,Active
INV000662,8,Active
INV000663,6,Active
INV000664,4,Active
INV000665,10,Active
INV000666,5,Active
INV000667,6,Active
INV000668,3,Active
INV000669,1,Inactive
INV000670,3,Active
INV000671,4,Active
INV000672,2,Inactive
INV000673,6,Active
INV000674,1,Inactive
INV000675,6,Active
INV000676,11,Active
INV000677,1,Inactive
INV000678,7,Active
INV000679,3,Active
INV000680,2,Inactive
INV000681,3,Active
INV000682,2,Inactive
INV000683,9,Active
INV000684,3,Active
INV000685,1,Inactive
INV000686,1,Inactive
INV000687,3,Active
INV000688,2,Inactive
INV000689,5,Active
INV000690,8,Active
INV000691,6,Active
INV000692,1,Inactive
INV000693,2,Inactive
INV000695,5,Active
INV000696,4,Active
INV000698,9,Active
INV000699,6,Active
INV000700,3,Active
INV000701,7,Active
INV000702,2,Inactive
INV000703,3,Active
INV000704,5,Active
INV000705,2,Inactive
INV000706,5,Active
INV000707,9,Active
INV000708,4,Active
INV000709,7,Active
INV000710,6,Active
INV000711,4,Active
INV000713,3,Active
INV000714,9,Active
INV000715,5,Active
INV000716,1,Inactive
INV000717,4,Active
INV000718,7,Active
INV000719,7,Active
INV000720,5,Active
INV000721,4,Active
INV000722,3,Active
INV000723,5,Active
INV000724,6,Active
INV000725,7,Active
INV000726,2,Inactive
INV000727,3,Active
INV000728,5,Active
INV000729,4,Active
INV000730,1,Inactive
INV000731,2,Inactive
INV000732,4,Active
INV000733,2,Inactive
INV000734,8,Active
INV000735,4,Active
INV000736,5,Active
INV000737,6,Active
INV000738,4,Active
INV000739,4,Active
INV000740,1,Inactive
INV000741,5,Active
INV000742,4,Active
INV000743,3,Active
INV000744,4,Active
INV000745,4,Active
INV000746,2,Inactive
INV000747,6,Active
INV000748,2,Inactive
INV000749,5,Active
INV000750,9,Active
INV000751,9,Active
INV000752,3,Active
INV000753,3,Active
INV000754,7,Active
INV000755,3,Active
INV000756,4,Active
INV000757,3,Active
INV000758,5,Active
INV000759,7,Active
INV000760,2,Inactive
INV000761,7,Active
INV000762,2,Inactive
INV000763,1,Inactive
INV000764,5,Active
INV000765,4,Active
INV000766,3,Active
INV000767,3,Active
INV000768,8,Active
INV000769,5,Active
INV000770,1,Inactive
INV000771,4,Active
INV000772,6,Active
INV000774,7,Active
INV000775,4,Active
INV000776,8,Active
INV000777,6,Active
INV000778,8,Active
INV000779,6,Active
INV000780,1,Inactive
INV000781,4,Active
INV000782,5,Active
INV000783,6,Active
INV000784,2,Inactive
INV000785,6,Active
INV000786,9,Active
INV000787,1,Inactive
INV000788,4,Active
INV000789,8,Active
INV000790,1,Inactive
INV000791,4,Active
INV000792,2,Inactive
INV000793,8,Active
INV000794,1,Inactive
INV000795,1,Inactive
INV000796,3,Active
INV000797,4,Active
INV000798,1,Inactive
INV000799,5,Active
INV000800,4,Active
INV000801,3,Active
INV000802,1,Inactive
INV000803,7,Active
INV000804,3,Active
INV000806,4,Active
INV000808,3,Active
INV000809,4,Active
INV000810,5,Active
INV000811,2,Inactive
INV000813,4,Active
INV000814,6,Active
INV000815,2,Inactive
INV000816,3,Active
INV000818,2,Inactive
INV000819,3,Active
INV000820,2,Inactive
INV000821,2,Inactive
INV000822,7,Active
INV000823,7,Active
INV000824,3,Active
INV000825,3,Active
INV000826,3,Active
INV000827,8,Active
INV000828,1,Inactive
INV000829,5,Active
INV000830,6,Active
INV000831,5,Active
INV000832,2,Inactive
INV000833,8,Active
INV000834,3,Active
INV000835,1,Inactive
INV000836,6,Active
INV000837,1,Inactive
INV000838,2,Inactive
INV000839,1,Inactive
INV000840,3,Active
INV000841,3,Active
INV000842,1,Inactive
INV000843,6,Active
INV000844,7,Active
INV000845,3,Active
INV000846,3,Active
INV000847,6,Active
INV000848,1,Inactive
INV000849,4,Active
INV000850,3,Active
INV000851,5,Active
INV000852,3,Active
INV000853,10,Active
INV000854,9,Active
INV000855,3,Active
INV000856,5,Active
INV000857,4,Active
INV000858,9,Active
INV000859,2,Inactive
INV000860,5,Active
INV000861,5,Active
INV000862,6,Active
INV000863,1,Inactive
INV000864,6,Active
INV000865,9,Active
INV000866,1,Inactive
INV000867,2,Inactive
INV000868,1,Inactive
INV000869,6,Active
INV000870,5,Active
INV000871,1,Inactive
INV000872,1,Inactive
INV000873,7,Active
INV000874,9,Active
INV000875,1,Inactive
INV000876,4,Active
INV000877,6,Active
INV000878,2,Inactive
INV000879,3,Active
INV000880,4,Active
INV000881,10,Active
INV000882,1,Inactive
INV000883,2,Inactive
INV000884,2,Inactive
INV000885,5,Active
INV000886,1,Inactive
INV000887,7,Active
INV000888,7,Active
INV000889,2,Inactive
INV000890,3,Active
INV000891,4,Active
INV000892,3,Active
INV000893,7,Active
INV000894,6,Active
INV000895,3,Active
INV000896,2,Inactive
INV000897,3,Active
INV000898,2,Inactive
INV000899,1,Inactive
INV000900,2,Inactive
INV000901,6,Active
INV000902,5,Active
INV000904,3,Active
INV000905,1,Inactive
INV000906,3,Active
INV000907,6,Active
INV000908,4,Active
INV000909,4,Active
INV000910,5,Active
INV000911,1,Inactive
INV000912,4,Active
INV000913,4,Active
INV000914,5,Active
INV000915,4,Active
INV000916,1,Inactive
INV000918,2,Inactive
INV000919,3,Active
INV000920,6,Active
INV000921,2,Inactive
INV000922,4,Active
INV000923,1,Inactive
INV000924,1,Inactive
INV000925,3,Active
INV000926,6,Active
INV000927,5,Active
INV000928,1,Inactive
INV000929,7,Active
INV000930,8,Active
INV000931,5,Active
INV000933,3,Active
INV000934,2,Inactive
INV000935,9,Active
INV000936,1,Inactive
INV000937,1,Inactive
INV000938,2,Inactive
INV000939,8,Active
INV000940,1,Inactive
INV000941,2,Inactive
INV000942,7,Active
INV000943,1,Inactive
INV000944,3,Active
INV000945,1,Inactive
INV000946,3,Active
INV000947,4,Active
INV000948,2,Inactive
INV000949,7,Active
INV000950,6,Active
INV000951,1,Inactive
INV000953,3,Active
INV000954,5,Active
INV000955,3,Active
INV000956,1,Inactive
INV000957,4,Active
INV000958,3,Active
INV000959,5,Active
INV000960,3,Active
INV000961,4,Active
INV000962,5,Active
INV000963,3,Active
INV000964,2,Inactive
INV000965,1,Inactive
INV000966,2,Inactive
INV000967,2,Inactive
INV000968,2,Inactive
INV000969,4,Active
INV000970,4,Active
INV000971,7,Active
INV000972,5,Active
INV000974,7,Active
INV000975,1,Inactive
INV000977,10,Active
INV000978,4,Active
INV000979,6,Active
INV000980,8,Active
INV000981,6,Active
INV000982,3,Active
INV000983,4,Active
INV000984,4,Active
INV000985,3,Active
INV000986,7,Active
INV000987,2,Inactive
INV000988,1,Inactive
INV000989,3,Active
INV000990,4,Active
INV000991,1,Inactive
INV000992,4,Active
INV000993,1,Inactive
INV000994,6,Active
INV000995,4,Active
INV000997,4,Active
INV000998,4,Active
INV000999,5,Active
INV001001,8,Active
INV001002,7,Active
INV001003,2,Inactive
INV001004,3,Active
INV001005,6,Active
INV001006,5,Active
INV001007,1,Inactive
INV001008,7,Active
INV001009,3,Active
INV001010,1,Inactive
INV001011,3,Active
INV001012,5,Active
INV001013,6,Active
INV001014,4,Active
INV001015,2,Inactive
INV001016,3,Active
INV001017,6,Active
INV001019,9,Active
INV001020,2,Inactive
INV001021,7,Active
INV001023,8,Active
INV001024,3,Active
INV001025,6,Active
INV001026,6,Active
INV001027,5,Active
INV001028,4,Active
INV001029,5,Active
INV001030,1,Inactive
INV001031,5,Active
INV001032,1,Inactive
INV001033,1,Inactive
INV001034,3,Active
INV001035,1,Inactive
INV001036,4,Active
INV001037,10,Active
INV001038,2,Inactive
INV001039,6,Active
INV001040,2,Inactive
INV001041,7,Active
INV001042,3,Active
INV001043,5,Active
INV001044,2,Inactive
INV001045,5,Active
INV001046,2,Inactive
INV001047,7,Active
INV001048,8,Active
INV001049,4,Active
INV001050,4,Active
INV001051,8,Active
INV001052,2,Inactive
INV001053,8,Active
INV001054,2,Inactive
INV001055,6,Active
INV001056,1,Inactive
INV001057,2,Inactive
INV001058,4,Active
INV001059,3,Active
INV001060,9,Active
INV001061,9,Active
INV001062,3,Active
INV001063,8,Active
INV001064,9,Active
INV001065,4,Active
INV001066,2,Inactive
INV001067,3,Active
INV001068,4,Active
INV001069,8,Active
INV001070,6,Active
INV001071,2,Inactive
INV001072,2,Inactive
INV001073,3,Active
INV001074,5,Active
INV001075,5,Active
INV001076,2,Inactive
INV001077,3,Active
INV001079,5,Active
INV001080,4,Active
INV001081,2,Inactive
INV001082,4,Active
INV001083,4,Active
INV001084,1,Inactive
INV001085,2,Inactive
INV001086,2,Inactive
INV001087,5,Active
INV001088,4,Active
INV001089,1,Inactive
INV001090,1,Inactive
INV001091,4,Active
INV001092,7,Active
INV001093,4,Active
INV001094,2,Inactive
INV001095,2,Inactive
INV001096,5,Active
INV001099,8,Active
INV001100,1,Inactive
INV001101,4,Active
INV001102,7,Active
INV001103,4,Active
INV001104,1,Inactive
INV001105,1,Inactive
INV001106,3,Active
INV001107,3,Active
INV001108,3,Active
INV001109,3,Active
INV001110,2,Inactive
INV001111,3,Active
INV001112,5,Active
INV001113,4,Active
INV001114,2,Inactive
INV001115,6,Active
INV001116,9,Active
INV001117,8,Active
INV001118,4,Active
INV001119,2,Inactive
INV001120,2,Inactive
INV001121,3,Active
INV001122,2,Inactive
INV001123,5,Active
INV001124,3,Active
INV001126,2,Inactive
INV001127,2,Inactive
INV001128,3,Active
INV001129,1,Inactive
INV001130,7,Active
INV001131,4,Active
INV001132,1,Inactive
INV001133,4,Active
INV001134,1,Inactive
INV001136,2,Inactive
INV001137,7,Active
INV001138,4,Active
INV001139,2,Inactive
INV001140,6,Active
INV001141,6,Active
INV001142,7,Active
INV001143,3,Active
INV001144,3,Active
INV001145,3,Active
INV001146,1,Inactive
INV001148,3,Active
INV001149,3,Active
INV001150,3,Active
INV001151,3,Active
INV001152,4,Active
INV001153,1,Inactive
INV001154,4,Active
INV001155,3,Active
INV001156,6,Active
INV001157,5,Active
INV001158,3,Active
INV001159,1,Inactive
INV001160,8,Active
INV001161,6,Active
INV001163,7,Active
INV001164,2,Inactive
INV001165,5,Active
INV001166,5,Active
INV001167,6,Active
INV001168,5,Active
INV001169,3,Active
INV001170,6,Active
INV001171,4,Active
INV001172,2,Inactive
INV001173,6,Active
INV001174,3,Active
INV001175,5,Active
INV001176,2,Inactive
INV001177,1,Inactive
INV001178,7,Active
INV001179,1,Inactive
INV001180,6,Active
INV001181,8,Active
INV001182,2,Inactive
INV001183,5,Active
INV001184,1,Inactive
INV001185,5,Active
INV001186,5,Active
INV001187,1,Inactive
INV001188,1,Inactive
INV001189,3,Active
INV001190,6,Active
INV001191,2,Inactive
INV001192,4,Active
INV001193,4,Active
INV001194,3,Active
INV001195,8,Active
INV001196,6,Active
INV001197,3,Active
INV001198,5,Active
INV001199,2,Inactive
INV001200,2,Inactive
INV001201,1,Inactive
INV001202,8,Active
INV001203,2,Inactive
INV001204,3,Active
INV001205,1,Inactive
INV001206,6,Active
INV001207,5,Active
INV001208,7,Active
INV001209,3,Active
INV001210,9,Active
INV001211,1,Inactive
INV001212,5,Active
INV001213,3,Active
INV001214,1,Inactive
INV001215,4,Active
INV001216,2,Inactive
INV001217,8,Active
INV001218,5,Active
INV001219,8,Active
INV001220,7,Active
INV001221,5,Active
INV001222,5,Active
INV001223,7,Active
INV001224,4,Active
INV001225,3,Active
INV001226,1,Inactive
INV001227,4,Active
INV001228,5,Active
INV001229,2,Inactive
INV001230,4,Active
INV001231,1,Inactive
INV001232,4,Active
INV001233,3,Active
INV001234,8,Active
INV001235,9,Active
INV001236,4,Active
INV001237,6,Active
INV001238,7,Active
INV001239,1,Inactive
INV001240,1,Inactive
INV001241,4,Active
INV001242,6,Active
INV001243,1,Inactive
INV001244,5,Active
INV001245,1,Inactive
INV001246,2,Inactive
INV001247,5,Active
INV001248,1,Inactive
INV001249,4,Active
INV001250,2,Inactive
INV001251,6,Active
INV001254,2,Inactive
INV001255,4,Active
INV001256,3,Active
INV001257,5,Active
INV001258,2,Inactive
INV001259,5,Active
INV001260,5,Active
INV001261,5,Active
INV001262,7,Active
INV001263,2,Inactive
INV001264,5,Active
INV001265,5,Active
INV001266,1,Inactive
INV001267,2,Inactive
INV001269,5,Active
INV001270,1,Inactive
INV001271,4,Active
INV001273,4,Active
INV001274,7,Active
INV001275,7,Active
INV001276,3,Active
INV001277,2,Inactive
INV001279,4,Active
INV001280,2,Inactive
INV001281,4,Active
INV001282,6,Active
INV001284,5,Active
INV001285,1,Inactive
INV001286,3,Active
INV001287,6,Active
INV001288,7,Active
INV001289,3,Active
INV001290,2,Inactive
INV001291,6,Active
INV001292,2,Inactive
INV001294,1,Inactive
INV001295,9,Active
INV001296,1,Inactive
INV001297,2,Inactive
INV001298,7,Active
INV001299,9,Active
INV001300,3,Active
INV001301,1,Inactive
INV001302,1,Inactive
INV001304,6,Active
INV001305,2,Inactive
INV001306,2,Inactive
INV001307,2,Inactive
INV001308,9,Active
INV001309,1,Inactive
INV001310,6,Active
INV001311,4,Active
INV001312,4,Active
INV001313,1,Inactive
INV001314,10,Active
INV001315,7,Active
INV001316,6,Active
INV001317,6,Active
INV001318,10,Active
INV001319,4,Active
INV001320,5,Active
INV001321,5,Active
INV001322,3,Active
INV001323,1,Inactive
INV001324,1,Inactive
INV001325,4,Active
INV001326,8,Active
INV001327,1,Inactive
INV001328,2,Inactive
INV001329,6,Active
INV001330,3,Active
INV001331,6,Active
INV001332,7,Active
INV001333,7,Active
INV001334,5,Active
INV001335,1,Inactive
INV001336,8,Active
INV001337,4,Active
INV001338,1,Inactive
INV001339,1,Inactive
INV001340,1,Inactive
INV001341,3,Active
INV001342,5,Active
INV001343,4,Active
INV001344,1,Inactive
INV001345,4,Active
INV001346,5,Active
INV001347,2,Inactive
INV001348,7,Active
INV001349,1,Inactive
INV001350,2,Inactive
INV001351,7,Active
INV001352,4,Active
INV001353,5,Active
INV001354,4,Active
INV001355,6,Active
INV001356,6,Active
INV001357,4,Active
INV001358,1,Inactive
INV001359,7,Active
INV001360,1,Inactive
INV001361,7,Active
INV001362,3,Active
INV001363,5,Active
INV001365,3,Active
INV001366,5,Active
INV001367,6,Active
INV001368,1,Inactive
INV001369,4,Active
INV001370,5,Active
INV001371,1,Inactive
INV001372,3,Active
INV001373,2,Inactive
INV001374,2,Inactive
INV001375,7,Active
INV001376,7,Active
INV001377,4,Active
INV001378,1,Inactive
INV001379,4,Active
INV001380,1,Inactive
INV001382,3,Active
